,모집직종,고용형태,임금형태,임금,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,Classification
771,환경·청소 관리자,0,2,2200000,0,0,0,0,서울특별시 강남구 테헤란로 409 동신빌딩 (삼성동),1,서비스
772,총무 및 일반 사무원,1,2,2000000,0,0,0,0,서울특별시 금천구 디지털로9길 68 (가산동) 1202호,1,경영/사무
773,사무 보조원(공공기관),0,2,2000000,0,0,0,0,서울특별시 동작구 장승배기로 161 (노량진동),3,경영/사무
774,사무 보조원(공공기관),0,2,1005290,0,0,0,0,서울특별시 마포구 월드컵로 212 마포구청 (성산동),3,경영/사무
775,사무 보조원(일반사업체),0,0,9540,0,0,0,0,서울특별시 성북구 고려대로 73 (안암동5가),4,경영/사무
776,UX/UI 디자이너,0,2,2100000,0,0,0,0,서울특별시 송파구 송파대로 570 타워730(신천동),4,디자인
777,출판·자료 편집 사무원,0,2,2060000,0,0,0,0,서울특별시 송파구 송파대로 570 타워730(신천동),4,경영/사무
778,주차 관리·안내원,1,3,26500000,0,0,0,0,서울특별시 송파구 올림픽로 424 우리금융아트홀,3,서비스
779,환경 미화원,1,3,23200000,0,0,0,0,서울특별시 송파구 올림픽로 424 우리금융아트홀,3,서비스
780,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,2,960000,0,0,0,0,서울특별시 영등포구 여의대로 70 신한금융투자 본사 (여의도동),1,서비스
781,사무 보조원(일반사업체),0,3,30000000,0,1,0,0,서울특별시 영등포구 의사당대로 3 현대캐피탈 (여의도동),4,경영/사무
782,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,1,80000,0,0,0,0,서울특별시 종로구 율곡로 75  (계동),1,서비스
783,세탁원(다림질원),0,2,1100000,0,0,0,0,"서울특별시 종로구 종로 26 지하3층(서린동, SK빌딩 내)",1,서비스
784,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",2,0,9160,0,0,0,0,"서울특별시 중랑구 신내역로3길 40-36 A동 1층 R106호 (신내동, 신내데시앙플렉스지식산업센터)",1,생산/제조
785,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,1,79670,0,0,0,0,울산광역시 남구 중앙로 201 (신정동),3,서비스
786,플라스틱제품 조립원 및 검사원,1,0,9160,0,1,0,0,인천광역시 계양구 서운산단로2길 73 (서운동),1,생산/제조
787,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,2,1303940,0,0,0,0,인천광역시 계양구 오조산로57번길 15 505호 (계산동),1,서비스
788,전기·전자 분야 단순 종사원,1,0,9160,0,0,0,0,인천광역시 남동구 논현로46번길 39-30 (논현동),1,생산/제조
789,주입·포장·상표부착기 등 기타 기계 조작원,0,2,1950000,0,0,0,0,전라북도 완주군 봉동읍 완주산단5로 248 아이큐어(주) 완주공장,1,생산/제조
790,병원 급식 조리사,1,2,1500000,0,0,0,0,전라북도 전주시 완산구 용머리로 73 2층 102호 (효자동1가),1,서비스
791,세탁원(다림질원),1,0,9160,0,0,0,0,제주특별자치도 제주시 선반로8길 21-2 2163-1 (화북일동),1,서비스
792,식품 분야 단순 종사원,1,0,9160,0,0,0,0,충청북도 제천시 송학면 송학로10길 35 (농업회사법인(주)태성김치),1,생산/제조
